(-0.821907, -0.445615)
(-0.562116, -0.632438)
(-0.531264, -0.604580)
(-0.791705, -0.551465)
(-0.817493, -0.780548)
(-0.821927, -0.445608)
(-0.577057, -0.622400)
(-0.546188, -0.594543)
(-0.791713, -0.551469)
(-0.817509, -0.780550)
(-0.821947, -0.445600)
(-0.591998, -0.612362)
(-0.561124, -0.584498)
(-0.791721, -0.551474)
(-0.817525, -0.780551)
(-0.821967, -0.445593)
(-0.606939, -0.602323)
(-0.576060, -0.574453)
(-0.791728, -0.551478)
(-0.817542, -0.780552)
(-0.821986, -0.445586)
(-0.621880, -0.592285)
(-0.590997, -0.564408)
(-0.791736, -0.551483)
(-0.817558, -0.780554)
(-0.822006, -0.445579)
(-0.636821, -0.582247)
(-0.605933, -0.554363)
(-0.791744, -0.551487)
(-0.817574, -0.780555)
(-0.822026, -0.445572)
(-0.651763, -0.572209)
(-0.791752, -0.551492)
(-0.817590, -0.780557)
(-0.822046, -0.445564)
(-0.666704, -0.562171)
(-0.791759, -0.551496)
(-0.817606, -0.780558)
(-0.822066, -0.445557)
(-0.791767, -0.551501)
(-0.817622, -0.780560)
(-0.696586, -0.542094)
(-0.791775, -0.551505)
(-0.817638, -0.780561)
(-0.711527, -0.532056)
(-0.680615, -0.504137)
(-0.791782, -0.551510)
(-0.817654, -0.780562)
(-0.726468, -0.522018)
(-0.695551, -0.494092)
(-0.791790, -0.551514)
(-0.817670, -0.780564)
(-0.741409, -0.511979)
(-0.710488, -0.484047)
(-0.791798, -0.551519)
(-0.817686, -0.780565)
(-0.756350, -0.501941)
(-0.725424, -0.474001)
(-0.791806, -0.551524)
(-0.817702, -0.780567)
(-0.771291, -0.491903)
(-0.740361, -0.463956)
(-0.791813, -0.551528)
(-0.786232, -0.481865)
(-0.755297, -0.453911)
(-0.801173, -0.471827)
(-0.770233, -0.443866)
(-0.816114, -0.461788)
(-0.467333, -0.752697)
(-0.467336, -0.752718)
(-0.467340, -0.752738)
(-0.467343, -0.752758)
(-0.467347, -0.752778)
(-0.467350, -0.752798)
(-0.817846, -0.780580)
(-0.467354, -0.752818)
(-0.817862, -0.780581)
(-0.112415, -0.578630)
(-0.467357, -0.752838)
(-0.817878, -0.780583)
(-0.112402, -0.578654)
(0.345439, -0.833333)
(-0.467361, -0.752858)
(-0.791898, -0.551578)
(-0.817894, -0.780584)
(-0.112390, -0.578677)
(-0.467364, -0.752878)
(-0.791906, -0.551582)
(-0.817910, -0.780585)
(-0.467368, -0.752898)
(-0.791914, -0.551587)
(-0.817927, -0.780587)
(-0.467371, -0.752918)
(-0.791921, -0.551591)
(-0.817943, -0.780588)
(-0.467375, -0.752938)
